carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,4,231215_gly2_4,45.1004,38.18,0.48208874
gly2,231215,4,231215_gly2_4,45.52,38.5996,0.40746825
gly2,231215,4,231215_gly2_4,45.9396,39.0192,0.323332284
gly2,231215,4,231215_gly2_4,46.3591,39.4387,0.431638475
gly2,231215,6,231215_gly2_6,6.7817,0,0.096543473
gly2,231215,6,231215_gly2_6,7.1494,0.3677,0.121445216
gly2,231215,6,231215_gly2_6,7.5171,0.7354,0.113035624
gly2,231215,6,231215_gly2_6,7.8849,1.1032,0.070899324
gly2,231215,6,231215_gly2_6,8.2526,1.4709,0.112540371
gly2,231215,6,231215_gly2_6,8.6203,1.8386,0.108912373
gly2,231215,6,231215_gly2_6,8.988,2.2063,0.124726529
gly2,231215,6,231215_gly2_6,9.3557,2.574,0.115781677
gly2,231215,6,231215_gly2_6,9.7235,2.9418,0.14759495
gly2,231215,6,231215_gly2_6,10.0912,3.3095,0.135025531
gly2,231215,6,231215_gly2_6,10.4589,3.6772,0.138888396
gly2,231215,6,231215_gly2_6,10.8266,4.0449,0.107553758
gly2,231215,6,231215_gly2_6,11.1943,4.4126,0.140974539
gly2,231215,6,231215_gly2_6,11.5621,4.7804,0.150883266
gly2,231215,6,231215_gly2_6,11.9298,5.1481,0.130731812
gly2,231215,6,231215_gly2_6,12.2975,5.5158,0.143538702
gly2,231215,6,231215_gly2_6,12.6652,5.8835,0.152963316
gly2,231215,6,231215_gly2_6,13.0329,6.2512,0.138974017
gly2,231215,6,231215_gly2_6,13.4006,6.6189,0.185639233
gly2,231215,6,231215_gly2_6,13.7684,6.9867,0.154473849
gly2,231215,6,231215_gly2_6,14.1361,7.3544,0.155417106
gly2,231215,6,231215_gly2_6,14.5038,7.7221,0.172658524
gly2,231215,6,231215_gly2_6,14.8715,8.0898,0.131437072
gly2,231215,6,231215_gly2_6,15.2392,8.4575,0.147992928
gly2,231215,6,231215_gly2_6,15.607,8.8253,0.195234274
gly2,231215,6,231215_gly2_6,15.9747,9.193,0.195449531
gly2,231215,6,231215_gly2_6,16.3424,9.5607,0.191004382
gly2,231215,6,231215_gly2_6,16.7101,9.9284,0.198291999
