carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,7,231215_glu005_7,11.3824,0.8753,0.130937221
glu005,231215,7,231215_glu005_7,11.8201,1.313,0.12011311
glu005,231215,7,231215_glu005_7,12.2577,1.7506,0.192173278
glu005,231215,7,231215_glu005_7,12.6954,2.1883,0.184976339
glu005,231215,7,231215_glu005_7,13.133,2.6259,0.14898832
glu005,231215,7,231215_glu005_7,13.5706,3.0635,0.167088764
glu005,231215,7,231215_glu005_7,14.0083,3.5012,0.200539253
glu005,231215,7,231215_glu005_7,14.4459,3.9388,0.164451262
glu005,231215,7,231215_glu005_7,14.8836,4.3765,0.160662444
glu005,231215,7,231215_glu005_7,15.3212,4.8141,0.21197708
glu005,231215,7,231215_glu005_7,15.7589,5.2518,0.194994623
glu005,231215,7,231215_glu005_7,16.1965,5.6894,0.213865404
glu005,231215,7,231215_glu005_7,16.6342,6.1271,0.218144304
glu005,231215,7,231215_glu005_7,17.0718,6.5647,0.183984163
glu005,231215,7,231215_glu005_7,17.5095,7.0024,0.238529096
glu005,231215,7,231215_glu005_7,17.9471,7.44,0.244847744
glu005,231215,7,231215_glu005_7,18.3847,7.8776,0.249860862
glu005,231215,7,231215_glu005_7,18.8224,8.3153,0.148417197
glu005,231215,7,231215_glu005_7,19.26,8.7529,0.182276874
glu005,231215,7,231215_glu005_7,19.6977,9.1906,0.198753774
glu005,231215,7,231215_glu005_7,20.1353,9.6282,0.236914009
glu005,231215,7,231215_glu005_7,20.573,10.0659,0.210566625
glu005,231215,7,231215_glu005_7,21.0106,10.5035,0.199614894
glu005,231215,7,231215_glu005_7,21.4483,10.9412,0.181916457
glu005,231215,7,231215_glu005_7,21.8859,11.3788,0.205242161
glu005,231215,7,231215_glu005_7,22.3236,11.8165,0.251220992
